,logFC,AveExpr,t,P.Value,adj.P.Val,B
RHOB,0.182276091016446,10.2907979374206,2.40095082824642,0.0172889156818517,0.148747821643697,-3.48040461334876
ACSS2,-0.141920320218786,8.68290870708885,-2.4009245783662,0.0172901194634643,0.148747821643697,-3.4804637133113
INPP5E,0.133940794525409,7.34905292524239,2.40039577475286,0.0173143854155907,0.148869167091444,-3.48165415212168
CLIC4,0.140767834880489,10.7571134899993,2.40000704002312,0.0173322430204923,0.148925861380915,-3.48252911160093
WDR5B,-0.154907224614623,7.59516114031575,-2.39966858013712,0.0173478043641641,0.148925861380915,-3.48329080452251
FGD3,-0.110299192155047,8.10595196449692,-2.39958880478931,0.017351473986569,0.148925861380915,-3.48347032162376
SMCR7,-0.108503839168302,7.96308370215408,-2.39921328718551,0.0173687568066928,0.148986918018066,-3.48431526706678
HCFC1,-0.139715036150635,9.34121164859512,-2.39859089245299,0.0173974353998161,0.149145597450384,-3.48571543240156
IPO11,0.148447425156634,8.89111468203497,2.39792802486802,0.0174280248973824,0.149320463609093,-3.48720627141328
FLVCR2,0.163281912507873,10.1427735816757,2.39710904787315,0.01746588403127,0.149557374016445,-3.48904767694002
DSN1,-0.126829155884932,9.1075443754464,-2.3962201168419,0.0175070591728418,0.149756791004715,-3.49104569895418
ASXL1,-0.0835715049925145,8.6555732551002,-2.39613987143563,0.0175107803436769,0.149756791004715,-3.49122602969598
RRAD,0.193567639695668,7.6543067178372,2.3959446199585,0.0175198375388767,0.149756791004715,-3.49166478303052
NFXL1,0.173728174285817,8.38532282694302,2.39515656371004,0.0175564354401077,0.149867993249829,-3.49343529748266
PWWP2B,0.141172113369365,7.94542002005407,2.39503960251345,0.0175618729539593,0.149867993249829,-3.49369802579626
CES4A,-0.160869106723903,7.39142007925122,-2.39500386829423,0.0175635345307458,0.149867993249829,-3.49377829267011
HAS2,-0.168746193649413,6.66787859863106,-2.39423844844433,0.0175991585333876,0.150084558598756,-3.49549732256557
