"Name","K","Kin","Kout","TypeI","TypeII"
"RHO",3,0,3,2,0
"RHOB",1,0,1,1,0
"RHOQ",3,0,3,2,0
"RHPN2",1,0,1,1,0
"RIN2",2,0,2,2,0
"RLBP1",1,0,1,1,0
"RMI1",1,0,1,1,0
"RNF138",1,0,1,1,0
"RNF183",1,0,1,2,0
"ROBO1",1,0,1,1,0
"ROR2",2,0,2,2,0
"RPL11",1,0,1,2,0
"RPLP2",1,0,1,1,0
"RPN2",1,0,1,1,0
"RPS25",1,0,1,1,0
"RRBP1",1,0,1,2,0
"RSRC1",2,0,2,2,0
"RSU1",1,0,1,1,0
"RTKN",1,0,1,1,0
"RTN4R",2,0,2,2,0
"RUVBL2",1,0,1,1,0
"RXFP1",1,0,1,2,0
"S100A1",3,0,3,2,0
"S1PR2",2,0,2,1,0
"S1PR5",1,0,1,1,0
"SALL1",1,0,1,1,0
"SARS2",1,0,1,1,0
"SCIN",1,0,1,1,0
"SCMH1",1,0,1,1,0
"SCN8A",1,0,1,1,0
"SCNN1A",1,0,1,1,0
"SCNN1G",1,0,1,1,0
"SCTR",3,0,3,2,0
"SCYL1",1,0,1,1,0
"SELE",5,0,5,2,0
"SELL",7,0,7,2,0
"SELP",3,0,3,2,0
"SEMA3F",2,0,2,1,0
"SEMA4D",1,0,1,2,0
"SEMA5B",3,0,3,2,0
"SEMA6A",1,0,1,1,0
"SENP2",2,0,2,1,0
"SEPT2",3,0,3,2,0
"SEPT5",2,0,2,1,0
"SERPINB8",1,0,1,2,0
"SERPINE1",4,0,4,2,0
"SERPING1",5,0,5,2,0
"SETD7",2,0,2,1,0
"SF3A1",2,0,2,1,0
"SF3A2",1,0,1,2,0
