"Name","K","Kin","Kout","TypeI","TypeII"
"GNB2L1",27,18,9,0,1
"EIF2S2",10,4,6,0,1
"UTP14A",19,7,12,0,1
"CSTF2",11,7,4,0,1
"GTF2F1",12,8,4,0,1
"SNRNP70",9,4,5,0,1
"CTGF",5,3,2,0,1
"NOV",5,3,2,0,1
"NEK1",10,8,2,0,1
"ZFYVE9",11,8,3,0,1
"CTNND2",3,1,2,0,1
"IGF1",7,5,2,0,1
"FGFR3",12,8,4,0,1
"LRP2",12,6,6,0,1
"NCF4",6,5,1,0,1
"PAFAH1B1",7,2,5,0,1
"WWP2",6,1,5,0,1
"PIK3R3",13,8,5,0,1
"LMO2",4,2,2,0,1
"MED19",3,1,2,0,1
"DDR1",3,1,2,0,1
"RGS2",21,2,19,0,1
"SORBS3",10,9,1,0,1
"SMURF2",17,8,9,0,1
"DLG1",22,1,21,0,1
"MAPK12",8,5,3,0,1
"GRIN2D",17,10,7,0,1
"DLG3",9,1,8,0,1
"PTK2B",28,10,18,0,1
"ERBB2",25,4,21,0,1
"DLST",5,3,2,0,1
"DNAJC7",6,4,2,0,1
"MPHOSPH6",5,3,2,0,1
"DOK1",10,3,7,0,1
"DPYSL2",3,2,1,0,1
"DRAP1",6,2,4,0,1
"GIPC1",12,6,6,0,1
"GNAI3",17,4,13,0,1
"NCK1",24,2,22,0,1
"MAPK14",19,13,6,0,1
"DUSP23",8,3,5,0,1
"RNPS1",5,4,1,0,1
"VDAC1",4,1,3,0,1
"TFDP1",7,5,2,0,1
"E2F2",5,2,3,0,1
"E2F3",9,4,5,0,1
"TFDP2",3,2,1,0,1
"EEF1G",23,4,19,0,1
"RHOG",6,4,2,0,1
"TRAF3",17,7,10,0,1
"GADD45A",20,12,8,0,1
"TNNT1",15,8,7,0,1
"EFNA1",4,2,2,0,1
"PPBP",4,1,3,0,1
"EFNB2",8,3,5,0,1
"HOMER1",10,4,6,0,1
"MAP2K1",20,7,13,0,1
"MAP3K14",11,6,5,0,1
"SNRPD2",6,2,4,0,1
"EIF3E",6,1,5,0,1
"POLA2",12,4,8,0,1
"MYC",18,6,12,0,1
"ID2",18,9,9,0,1
"OSGEP",9,3,6,0,1
"HK1",3,2,1,0,1
"GRIA4",4,3,1,0,1
"FLI1",7,4,3,0,1
"PIK3CB",9,6,3,0,1
"HNF4A",16,4,12,0,1
"ZBTB17",11,6,5,0,1
"MAF",3,2,1,0,1
"PFN2",7,1,6,0,1
"EXOSC6",13,2,11,0,1
"NUDT21",13,6,7,0,1
"RAB27A",8,5,3,0,1
"F10",5,2,3,0,1
"PARD3",8,3,5,0,1
"PTPRB",6,3,3,0,1
"F2",7,1,6,0,1
"PLG",8,5,3,0,1
"SNX1",6,4,2,0,1
"FAM118B",10,6,4,0,1
"RAP1A",12,5,7,0,1
"RPS6KA6",9,6,3,0,1
"FCER1G",7,1,6,0,1
"IMMT",14,2,12,0,1
"GNAQ",7,2,5,0,1
"RPS6KA3",13,6,7,0,1
"KIAA1377",22,11,11,0,1
"ICAM1",10,6,4,0,1
"PRMT1",16,8,8,0,1
"FLNB",5,3,2,0,1
"SHBG",6,2,4,0,1
