,logFC,AveExpr,t,P.Value,adj.P.Val,B
ZNF700,-0.0919789580560906,8.00248974732217,-2.68937302199133,0.00751546090447785,0.0272479628090832,-3.33361627990997
SLC26A11,-0.106212623131537,8.03016040814095,-2.68862731813436,0.0075319073916544,0.0273008350309571,-3.33556449180443
SGTB,-0.129626913117484,6.6254229643169,-2.68801087480706,0.00754552750585309,0.027343438903847,-3.33717460949787
F8,0.120145025080141,6.40264784397951,2.68780536804445,0.00755007303833194,0.0273531454215137,-3.33771130383034
ANPEP,-0.12520340399685,7.99080058767238,-2.6873646206097,0.00755983009443139,0.0273817232913509,-3.33886221204897
PABPC5,-0.093009204050519,6.13544726294129,-2.68688687427369,0.00757041903862188,0.0274015897361052,-3.34010953007474
SNX3,-0.110481706384745,10.8774206280451,-2.68687150366385,0.00757075994009711,0.0274015897361052,-3.34014965671275
CABIN1,-0.0840659801898447,8.40061784051006,-2.68686402140372,0.00757092589255026,0.0274015897361052,-3.34016918988182
ECHDC1,-0.125855070100261,8.51763183338318,-2.68522731169024,0.00760730605371912,0.0275264610997873,-3.34444072820968
THBS2,0.133690869321339,7.13992964380365,2.68495781572307,0.00761331137815451,0.0275413888892202,-3.34514382858245
RBMX,-0.0889712742578777,9.53919180393033,-2.68310669841462,0.00765467631611565,0.0276784619533206,-3.34997146705202
RPLP0,-0.0973907525230437,11.9188571224548,-2.68301106478772,0.00765681882500475,0.0276784619533206,-3.35022078903461
ACAT1,-0.102331431232551,8.11871609214682,-2.68300876885893,0.00765687026802325,0.0276784619533206,-3.35022677453922
TFE3,-0.0856008344452199,9.1032889234998,-2.68268937438446,0.00766402971492545,0.027697508473945,-3.35105939066793
PPP2R4,-0.0938615286491995,8.49505613929488,-2.68240935652136,0.00767031146555222,0.0277133744221469,-3.35178927945782
BRE,-0.103690883286243,8.9623953221021,-2.68215165958563,0.00767609657749358,0.027727438598831,-3.35246092250644
KCNJ9,0.149934295046218,7.06769360154224,2.68158950371662,0.00768873020787583,0.0277662278224276,-3.35392587132093
PKNOX1,0.100640701630489,8.50643417343272,2.68048653412252,0.00771357224107665,0.0278453041275779,-3.35679929787954
VAMP2,-0.119325632785181,8.62232807075238,-2.68044858140223,0.00771442832938629,0.0278453041275779,-3.35689815113159
CANX,-0.0879774482809683,11.9697306397215,-2.6803584391182,0.00771646198509817,0.0278457843703629,-3.35713293414414
RPL17,-0.0918677369929721,10.398836452922,-2.67970958613107,0.00773111468249205,0.0278917904982002,-3.35882270213514
ITGB6,0.207931282479962,7.39956118998051,2.6788969663111,0.00774950096013598,0.0279512404153009,-3.36093840538776
DAP3,-0.07858681949239,8.54691440213081,-2.67870152170112,0.00775392894296483,0.0279603280687614,-3.36144716518289
SELO,0.0933952410919989,8.57858112871072,2.67793912831351,0.00777122346301876,0.028015796003122,-3.363431403508
INPP1,-0.099273897382516,7.91337304280507,-2.67785340730807,0.00777317017159021,0.0280159203404596,-3.36365447090728
GBP1,0.141271988434996,9.47506324826682,2.67746026351928,0.00778210401968945,0.0280352635479768,-3.36467744131833
IER3IP1,0.114957990174207,8.04984048210364,2.67744882322324,0.0077823641287026,0.0280352635479768,-3.36470720711348
LRRFIP2,0.0841045122022432,8.95535456251281,2.67734527015311,0.00778471888938159,0.0280368526175835,-3.36497662986827
ZNF521,-0.127778785783499,7.91958895117148,-2.67655746998231,0.00780265419614162,0.028093849047437,-3.36702598920106
SALL2,-0.113609860504112,6.61418050343271,-2.67648176804891,0.00780437960706221,0.028093849047437,-3.36722288747867
PSMC6,-0.104115963238726,9.83096970730957,-2.67616671142083,0.00781156411828075,0.0281128041996884,-3.36804228226976
PLA2G15,-0.109790050845776,8.64216777508384,-2.67559096804545,0.00782470867506693,0.0281489932170976,-3.36953942874077
CHCHD1,0.108234668283373,8.65642917794095,2.67555798135274,0.00782546238299355,0.0281489932170976,-3.36962519703957
CREBL2,-0.101976983731788,9.12530178468925,-2.67528019016144,0.00783181218383377,0.0281603858342947,-3.37034743835847
AHCY,-0.159811086703936,10.6177430413432,-2.67525126151272,0.00783247370655592,0.0281603858342947,-3.37042264707225
GDA,-0.170228753649392,8.36198105150748,-2.67426693286108,0.00785501271850609,0.0282325854484741,-3.37298124091402
MEGF10,-0.0987219695639823,6.24211079209963,-2.67420603000157,0.00785640917844714,0.0282325854484741,-3.37313951784307
CNPPD1,0.0800800581886065,9.42266643439667,2.67410613464745,0.00785870019270356,0.0282338932131682,-3.37339912264081
CDCA7L,0.13236619148311,6.68706391624942,2.67401811986872,0.00786071923428444,0.0282342234620008,-3.37362784488733
HIST1H2AA,-0.12430121611078,5.85311625018634,-2.67377119892538,0.00786638604350775,0.0282413206861767,-3.37426947491306
TCEAL8,0.0996140434683763,8.83424280942593,2.67376404034286,0.00786655038702391,0.0282413206861767,-3.37428807581576
C9orf116,0.0899867559243273,7.15019797073907,2.67325542155136,0.00787823493874672,0.0282763400508521,-3.37560955174928
ODF3,0.103296767905865,6.13764312513395,2.67290851520423,0.00788621340897959,0.028298043755807,-3.37651073379723
MTRR,-0.0771004879232002,8.64260427890597,-2.67181230143909,0.00791147294214374,0.0283817311643849,-3.37935770593704
LIX1,-0.132891582587814,6.09534005855377,-2.67151470176211,0.00791834294103496,0.0283994228712615,-3.38013040770986
CSF3R,-0.152758521445746,11.6952669637377,-2.67139425100482,0.00792112503583848,0.0284024480910596,-3.38044312827003
NELFB,0.0815863170834632,9.28457875534622,2.67079587518807,0.00793495897860126,0.0284450902851693,-3.38199646264733
TRAFD1,-0.103354092828935,8.72103124446981,-2.67023349053459,0.00794798064512093,0.0284848004969831,-3.38345606302835
CLCN2,0.080756978873513,7.19074980166234,2.66986572853669,0.00795650633738186,0.0285083820858356,-3.38441038493036
ZNF660,-0.13609294987217,5.99732410940816,-2.66940490856323,0.00796720097083267,0.0285397216194791,-3.385606009334
CYGB,-0.0846836253829748,7.91023249730048,-2.66919100742495,0.00797216954555041,0.0285505392353603,-3.38616092116996
FASTKD3,-0.0878885382788486,6.87489296528373,-2.66872794613036,0.00798293525355174,0.0285821076245813,-3.38736206940737
LRRTM2,-0.135705621060289,6.89588810574803,-2.66857972649887,0.00798638397215901,0.0285874692343273,-3.38774649846203
VPS36,-0.0834547074887197,9.24587113528295,-2.66806808258696,0.00799829900969025,0.0286231262313072,-3.38907336376882
MTCH1,-0.0666470830979158,10.6755358156545,-2.66757403477702,0.00800981944428277,0.0286573540117672,-3.39035436511006
ADPRHL2,0.0570485986762019,8.40401781962917,2.66713947853759,0.00801996496150072,0.0286866471315789,-3.39148092470499
GATAD1,0.071214273294272,8.49904754668203,2.66654134535593,0.0080339483864374,0.028729650429508,-3.39303125958218
RBFOX2,0.0959630100924542,9.22221585695947,2.66625276608386,0.00804070276002725,0.0287467877347875,-3.39377912520431
ANLN,0.146000985295874,8.03333657987404,2.66574729047903,0.00805254603222616,0.0287821058595134,-3.39508890012599
C5orf4,-0.103471668518107,7.53645675643208,-2.66500884955424,0.00806987587150901,0.0288370125349948,-3.39700190085249
MSANTD3,-0.0895468911090109,9.24711028504186,-2.66408426869397,0.00809162135075138,0.0289076674981367,-3.39939639859753
ERF,0.10872831721016,7.98321617800322,2.66166653384401,0.00814873398995853,0.0291046079197666,-3.40565413278312
ENO1,0.0897085473690904,11.8599745867142,2.66128342732382,0.00815781706530456,0.0291299482875401,-3.40664521356788
KIF3B,0.0695372282896489,8.004978705068,2.66112449415029,0.00816158788366957,0.029136311911219,-3.4070563270171
ST6GALNAC4,0.124666199607877,7.78772201992059,2.66095436813962,0.00816562599750917,0.0291436264286253,-3.40749636697584
KCNMB3,-0.108650978544178,6.52331073758529,-2.66068243054026,0.0081720844431949,0.0291595735940693,-3.40819969202386
TPGS2,-0.091474493990809,8.76772210419983,-2.66053012036932,0.00817570377525056,0.0291653849552461,-3.4085935889116
MTX2,-0.0835247074287313,8.57452394891364,-2.65919067547679,0.00820759498874731,0.0292720238997412,-3.41205666311479
YIF1A,0.0985681359461825,9.58859770386142,2.65888134809952,0.00821497572502942,0.0292860149897236,-3.41285617750623
C1orf174,0.0817439902901587,9.05187620171167,2.65885872439567,0.00821551577419724,0.0292860149897236,-3.41291464919698
TMTC2,-0.0913173832545144,7.18204385673777,-2.65823924651351,0.00823031570190682,0.029331635939829,-3.41451552443986
CYFIP2,0.129079390913786,8.74646733018171,2.65810772318836,0.00823346100419656,0.029335709429106,-3.41485536535904
DCAF11,-0.0891761375459073,8.31022395017481,-2.65772026165856,0.00824273319744591,0.0293616056590761,-3.41585642705282
FOXB1,0.131681235638272,6.75308675694824,2.6574621251318,0.00824891577182693,0.0293764863813895,-3.41652328166892
GTPBP8,-0.0812060982035829,7.72250558352832,-2.65714506901361,0.0082565152205538,0.0293964044948563,-3.4173422607153
SAMD8,0.0852594186826572,8.36983633051983,2.65612004662782,0.00828112683229991,0.029476868129258,-3.4199893273536
ZNF354C,-0.128969131874417,6.62173866118615,-2.65531334718398,0.00830054267713153,0.0295363003151062,-3.4220718980493
GJB2,0.0867235400313158,6.36249507279748,2.65525886323575,0.00830185548410398,0.0295363003151062,-3.42221253164107
ZFAND6,-0.0950216324146034,9.69799562104573,-2.65512047016311,0.0083051909454002,0.0295409935763676,-3.42256973845085
NOVA2,0.0960219076332116,7.42665417931671,2.65426291055569,0.00832588616371538,0.0296074170350956,-3.42478279043179
ARHGEF40,-0.101622357281321,7.45891980759188,-2.65359927733931,0.00834193321065698,0.0296572830549224,-3.42649491802311
VBP1,-0.123272001433234,8.26096185035588,-2.65347040123045,0.00834505273246346,0.0296611760270068,-3.4268273618438
TLR3,0.17366565093525,10.500782912809,2.65300822071106,0.00835624870513433,0.029693766621131,-3.42801945753909
ATP5H,-0.0732301023257964,10.5984829513469,-2.65284817896424,0.00836012873993196,0.0297003506713732,-3.42843220456165
EPHB4,-0.162315515350549,9.53260945647287,-2.65239102701533,0.00837122079996566,0.0297325468946174,-3.4296110661383
CEACAM7,0.116024690758748,5.91807216257662,2.65136167752172,0.00839624473788086,0.0298141981712779,-3.4322647453765
PSMD3,-0.0564584118141482,9.64740788023322,-2.65085784048862,0.00840851771854935,0.0298505435169534,-3.43356328525352
MATN3,-0.154356096555438,6.80819921138486,-2.65021478959765,0.00842420522466754,0.0298989900064448,-3.43522027753482
PABPC4,-0.155424625292097,9.62477879597605,-2.65001763509438,0.0084290201581236,0.0299088336974253,-3.43572822155114
PCSK1N,0.160401826623891,8.23628514505277,2.64945083581049,0.00844287637901186,0.029941169275204,-3.43718830751326
HIST1H2AK,-0.127718211282447,7.57148839873117,-2.64942729051404,0.00844345241992997,0.029941169275204,-3.43724895417679
ST3GAL3,-0.0962874560033349,7.40980250519284,-2.64939412132549,0.00844426397141103,0.029941169275204,-3.43733438864901
ING2,0.0938458928453993,8.05592900327221,2.6490737131625,0.00845210701547993,0.0299617275305581,-3.43815961689122
APOL2,-0.0786339409281931,7.78987803950912,-2.64839950636318,0.00846863182052377,0.0300030390490639,-3.43989575981147
EIF2B1,-0.066565726257144,9.83801785758395,-2.64838249133387,0.00846904923398163,0.0300030390490639,-3.43993956955555
CCDC170,-0.0812559695694661,6.45700844615218,-2.64834763414809,0.00846990440972822,0.0300030390490639,-3.44002931786119
CHRDL1,0.267059300810957,7.26325055912825,2.64734700370566,0.00849448667379742,0.0300828436687953,-3.44260520150746
LRRFIP1,0.114091446913404,8.49887287203922,2.64656575547567,0.00851372395112509,0.0301365618881358,-3.44461568935225
RNF112,0.0833598655416861,6.59909078815778,2.64656392775027,0.00851376900245677,0.0301365618881358,-3.44462039220906
TAOK2,0.0921508815141294,8.79907657974419,2.64630788339068,0.00852008231817812,0.0301516246482192,-3.44527918029416
SMIM3,0.132119511668864,7.98023854904475,2.64592450081096,0.00852954328871439,0.0301778166440363,-3.44626548837395
NTNG2,0.0914738420121255,6.6780771356389,2.64432802398135,0.00856904207224672,0.030307854065757,-3.45037118661578
CBX8,0.101034257787155,7.18976439696563,2.64427185525783,0.00857043474127578,0.030307854065757,-3.45051559381876
NGRN,-0.0941069899164599,9.57701066732208,-2.64410513362023,0.00857456969907157,0.0303151594259405,-3.45094421015411
BMP2K,-0.0993193796794465,8.08842810716923,-2.64349469848824,0.00858972473877432,0.0303614130633975,-3.45251332622801
NME9,0.0808743909099503,6.66529260598984,2.64328700255762,0.00859488660763186,0.0303723308462167,-3.45304712688139
SETD7,-0.116613021279097,8.36475314068475,-2.64212399905961,0.00862384224362307,0.0304673047290383,-3.45603542658063
SLC2A8,-0.0722011636403863,9.05473977955779,-2.64183209194046,0.00863112367717133,0.0304852738354462,-3.45678527445907
ZDHHC9,0.106081183224987,8.29249779857874,2.64175330269617,0.00863308996950833,0.0304852738354462,-3.45698765380965
NABP1,-0.130008272616452,10.31001512832,-2.64164302421027,0.00863584279395579,0.0304876464516256,-3.45727090722492
BCL7B,0.090529184952576,9.45515945199298,2.64082054861232,0.00865639869477972,0.030552854077865,-3.45938310145654
KLHDC3,-0.0608874173763727,10.3798327187086,-2.64009931659386,0.00867446038180804,0.0306092290592171,-3.46123477365803
SUSD2,0.115774017722968,8.08732775092104,2.63891567329615,0.00870417548618722,0.0307066879480205,-3.46427257729096
CLASRP,0.07558591193136,7.81891657055918,2.6377939132285,0.00873242132705057,0.0307989178773755,-3.46715035274654
MAPK1IP1L,-0.0782856254310449,9.69117280256982,-2.63759807626794,0.00873736091514202,0.0308022723216124,-3.46765263470037
NFU1,-0.101047884968374,8.75216267045485,-2.63758950304783,0.00873757721443048,0.0308022723216124,-3.46767462244829
ZC3HC1,-0.055508015810938,8.13838589299678,-2.6372385678154,0.00874643531137028,0.0308260822099798,-3.46857460763441
MEX3B,0.0987637103233183,7.37993462637994,2.63678057589066,0.00875800779283696,0.0308594449670164,-3.46974897055425
MAP2K6,-0.0900055534870923,6.27330397103137,-2.63577101650792,0.00878356575899719,0.0309420586523366,-3.47233694784534
SFT2D3,0.104852149290215,7.76142995092672,2.63566079331794,0.00878636021417518,0.0309444623792982,-3.47261944436138
