"","Name","K","Kin","Kout","TypeI","TypeII","logFC"
"314","CSF3R",6,0,6,2,0,0.152758521445746
"315","PARP1",15,0,15,2,0,0.151818486994484
"316","CUBN",1,0,1,1,0,0.151489068343436
"317","TGFBR2",16,5,11,0,1,0.151114437868534
"318","BLOC1S2",3,2,1,0,1,0.150476079124142
"319","YWHAZ",44,10,34,0,1,0.150102647491359
"320","INHBB",5,0,5,2,0,0.150081635971145
"321","RHPN2",1,0,1,1,0,0.149980334812392
"322","KPNA2",12,10,2,0,1,0.149971786131051
"323","AIFM1",3,2,1,0,1,0.14984191547788
"324","RAB6B",1,0,1,1,0,0.149662008451889
"325","RPL8",2,0,2,1,0,0.149583848462408
"326","RCN2",1,0,1,1,0,0.149414771766066
"327","PRKAA2",2,1,1,0,1,0.14939820515542
"328","LNPEP",1,0,1,2,0,0.149189884236895
"329","HOXA11",1,0,1,1,0,0.149012927731946
"330","CASP4",5,0,5,2,0,0.148494662745431
"331","CEBPB",25,6,19,0,1,0.14830990435525
"332","OSGEP",9,3,6,0,1,0.14829611490776
"333","CGN",2,1,1,0,1,0.148271014359834
"334","TNFRSF10B",4,1,3,0,1,0.148213760256892
"335","SELP",4,0,4,2,0,0.148184881722127
"336","BMP1",5,0,5,2,0,0.14805282943604
"337","TRMT2A",5,0,5,1,0,0.148002748934426
"338","CCNE1",9,3,6,0,1,0.147691866869462
"339","TMEM98",1,0,1,2,0,0.147621299455673
"340","DLG2",12,0,12,2,0,0.147418675807101
"341","PLCB1",2,0,2,1,0,0.147373966933625
"342","MAEA",1,0,1,1,0,0.14716415857988
"343","TNFRSF21",2,0,2,1,0,0.146942916992517
"344","SEMA6A",1,0,1,1,0,0.14622751597099
"345","MID1IP1",2,0,2,1,0,0.145932156403542
"346","NPPB",1,0,1,1,0,0.145795456371606
"347","ITGA2",4,0,4,2,0,0.14553551114875
"348","CHMP2A",3,1,2,0,1,0.145423169388122
"349","EFEMP2",11,7,4,0,1,0.145322435613052
"350","ACTB",59,36,23,0,1,0.144863638722642
"351","TNFRSF12A",2,0,2,1,0,0.144797875757046
"352","FGF2",9,0,9,2,0,0.144563707038602
"353","HSP90AA1",28,13,15,0,1,0.144556283686887
"354","ITGB2",23,5,18,0,1,0.144458680130056
"355","PTN",11,4,7,0,1,0.144308068235411
"356","GNA15",4,0,4,2,0,0.144275195855937
"357","UBE2A",3,0,3,2,0,0.143897627464131
"358","NR1H2",7,0,7,2,0,0.143403136895412
"359","CDH1",9,4,5,0,1,0.143167500543347
"360","GRK5",7,2,5,0,1,0.143138593498625
"361","GNAQ",7,2,5,0,1,0.143101789272913
"362","HSPA8",31,12,19,0,1,0.142938599264212
"363","P2RY12",1,0,1,1,0,0.142883819021346
"364","PFKM",4,0,4,2,0,0.142789924350239
"365","GEMIN5",1,0,1,1,0,0.142611889813289
"366","ROBO1",3,0,3,2,0,0.142464658824506
"367","CDH5",8,4,4,0,1,0.142190659742832
"368","NAGK",3,0,3,1,0,0.14170960988826
"369","IL2RA",2,0,2,2,0,0.141688895553877
"370","ZNF354A",1,0,1,1,0,0.141447474331891
"371","ANK2",2,1,1,0,1,0.141424004277127
"372","PXN",40,11,29,0,1,0.141417412663561
"373","CDK9",17,7,10,0,1,0.140489207025245
"374","GOT2",4,0,4,2,0,0.140449051710828
"375","CALCR",4,2,2,0,1,0.14021914243554
"376","JAK2",18,5,13,0,1,0.139802288058336
"377","FZD8",3,0,3,2,0,0.139763489270856
"378","SORBS3",10,9,1,0,1,0.139655834500702
"379","SMURF2",17,8,9,0,1,0.139604854604446
"380","LRP2BP",1,0,1,1,0,0.139371167155447
"381","ZNF579",5,0,5,2,0,0.139220567243946
"382","PDIA4",2,0,2,1,0,0.138921587259784
"383","IMMT",14,2,12,0,1,0.1385029823767
"384","TRAF5",13,7,6,0,1,0.13843353186552
"385","TNFSF14",2,0,2,2,0,0.138334436966081
"386","RFXAP",1,0,1,2,0,0.137839344323971
"387","TLR1",6,1,5,0,1,0.137719517375401
"388","GRIN2D",17,10,7,0,1,0.137291224310331
"389","CAPN2",4,1,3,0,1,0.136606134200566
"390","CD81",8,3,5,0,1,0.136193305563179
"391","SHANK2",8,3,5,0,1,0.135959495171791
"392","YWHAB",55,33,22,0,1,0.135913962944171
"393","CFDP1",1,0,1,1,0,0.13559722256884
"394","FTL",3,0,3,2,0,0.135266531461848
"395","NEDD4",14,11,3,0,1,0.134792220863643
"396","SPOCK2",1,0,1,2,0,0.13472750577241
"397","PAX6",2,1,1,0,1,0.133963841210946
"398","XRCC5",14,8,6,0,1,0.133951412558242
"399","TIMM17A",1,0,1,1,0,0.133842667452335
"400","CALD1",2,0,2,1,0,0.133779769543009
"401","TEK",10,2,8,0,1,0.133608494106642
"402","ADRA1D",3,0,3,2,0,0.133418283862752
"403","TANK",5,3,2,0,1,0.133191810028936
"404","RBBP7",7,0,7,1,0,0.133131460271942
"405","SATB1",1,0,1,1,0,0.133052061125755
"406","AKAP8",7,4,3,0,1,0.132887204988668
"407","MAGED1",7,0,7,2,0,0.132443528403266
"408","GNAI1",17,8,9,0,1,0.132344937146405
"409","PLXNB1",4,0,4,2,0,0.131779980524952
"410","MAF1",1,0,1,1,0,0.131679018792999
"411","PLXND1",1,0,1,2,0,0.131557076896843
"412","INSR",33,9,24,0,1,0.131136885939572
"413","ARID4A",1,0,1,1,0,0.13098267040165
"414","TACR3",1,0,1,2,0,0.130380390480767
"415","NFKBIA",6,0,6,2,0,0.130287993043364
"416","TCF4",11,4,7,0,1,0.130140579971755
"417","NGFRAP1",6,0,6,2,0,0.129903633276138
"418","EPHA2",7,0,7,2,0,0.129514520785822
"419","RGS9",1,0,1,2,0,0.129365259552233
"420","EEF1G",23,4,19,0,1,0.129012871219075
"421","TLR6",3,0,3,2,0,0.128392077575479
"422","HIST3H3",18,8,10,0,1,0.128273351419965
"423","STK11",7,4,3,0,1,0.128034774364375
"424","PMEPA1",1,0,1,1,0,0.127834197782174
"425","SMAD1",26,7,19,0,1,0.127226071309906
"426","TOLLIP",9,5,4,0,1,0.127023054654842
"427","DVL2",25,11,14,0,1,0.126713697451073
"428","RASGRF1",2,0,2,1,0,0.126695076861925
"429","NF2",2,0,2,2,0,0.126546728177773
"430","TBL3",1,0,1,2,0,0.126030046835854
"431","WNT4",2,1,1,0,1,0.12583243147439
"432","OTX1",1,0,1,1,0,0.125739374428073
"433","RCOR1",3,2,1,0,1,0.125619257688124
"434","PHGDH",1,0,1,1,0,0.125591372606971
"435","SURF2",1,0,1,1,0,0.125425408951394
"436","DRD4",3,0,3,2,0,0.125241645373777
"437","DLG1",22,1,21,0,1,0.125047535093891
"438","CKAP5",1,0,1,1,0,0.124718297814212
"439","DFNB31",2,0,2,2,0,0.124373080870333
"440","MAPK1",43,29,14,0,1,0.124155525650588
"441","ARPC4",1,0,1,2,0,0.124112145264812
"442","ERP29",1,0,1,2,0,0.124051069325153
"443","PTPRE",4,0,4,2,0,0.123921113292573
"444","NR2F6",2,0,2,2,0,0.123741040886037
"445","BRCA1",48,3,45,0,1,0.12358300926916
"446","VCP",9,0,9,2,0,0.123530137221701
"447","BTC",1,0,1,1,0,0.123162105009314
"448","CCNT2",3,2,1,0,1,0.123048748141994
"449","NRP2",3,0,3,2,0,0.122749684573126
"450","BIRC2",12,3,9,0,1,0.122684526968907
"451","ARNT",16,8,8,0,1,0.12143568421293
"452","CTSD",9,5,4,0,1,0.121089329582599
"453","UFD1L",3,2,1,0,1,0.120998880294744
"454","SLC8A1",3,1,2,0,1,0.120995136665086
"455","GNB2L1",27,18,9,0,1,0.120942509081868
"456","IRF8",8,3,5,0,1,0.120740492011445
"457","ETV1",1,0,1,2,0,0.12018432137473
"458","PSPC1",1,0,1,2,0,0.120093118547329
"459","ACE2",2,0,2,2,0,0.119665478977538
"460","CAPRIN1",1,0,1,2,0,0.119283261401586
"461","PRNP",7,0,7,2,0,0.119103144484546
"462","SH3GL1",8,3,5,0,1,0.118511039423291
"463","PSMB4",1,0,1,1,0,0.118340993077746
"464","UBAP2L",3,1,2,0,1,0.118171347361029
"465","ZNF655",1,0,1,1,0,0.117640323254971
"466","HNF4A",16,4,12,0,1,0.117358670661993
"467","CREB1",15,9,6,0,1,0.117186016554792
"468","RTN4R",3,0,3,2,0,0.117138370343538
"469","SETD7",2,0,2,1,0,0.116613021279097
"470","GNB1",10,4,6,0,1,0.116203710647738
"471","COL13A1",1,0,1,1,0,0.116057139296357
"472","PTPRO",1,0,1,2,0,0.115956664615094
"473","TNFRSF19",2,0,2,1,0,0.115674446720183
"474","IFNGR1",4,0,4,2,0,0.114866533841031
"475","GIPC1",12,6,6,0,1,0.114575011667464
"476","CELSR1",1,0,1,1,0,0.113705484008687
"477","KCTD17",1,0,1,1,0,0.113584944536791
"478","TSPAN4",3,0,3,2,0,0.113395915367775
"479","CHML",1,0,1,1,0,0.113375404422233
"480","HSPBAP1",1,0,1,1,0,0.113184387592746
"481","ADAMTS4",2,0,2,1,0,0.113084578237213
"482","LLGL1",2,1,1,0,1,0.113011256531534
"483","DLG4",22,8,14,0,1,0.112792162245154
"484","ENO2",4,0,4,2,0,0.112218960723996
"485","WIPF2",1,0,1,1,0,0.111927429158452
"486","FOXA2",5,4,1,0,1,0.111501852379113
"487","PLXNA3",2,0,2,2,0,0.111250768745126
"488","TRRAP",7,5,2,0,1,0.110649713141088
"489","HAAO",1,0,1,1,0,0.110420951660613
"490","NKIRAS1",1,0,1,1,0,0.110154349233653
"491","SDCBP",13,8,5,0,1,0.109848865456607
"492","TGOLN2",2,0,2,2,0,0.109805309477897
"493","PRKCB",25,15,10,0,1,0.10948091001088
"494","DNASE1",1,0,1,1,0,0.109203122134419
"495","UBE2E3",5,4,1,0,1,0.109189716501881
"496","ATXN1",34,18,16,0,1,0.109163856154854
"497","CPNE6",3,0,3,2,0,0.108961803391805
"498","C8orf33",11,6,5,0,1,0.108604471504432
"499","TTC3",1,0,1,1,0,0.108539562583779
"500","SMAD9",8,0,8,2,0,0.10829348443819
"501","XRN1",14,10,4,0,1,0.108208152086201
"502","GTF2I",3,0,3,2,0,0.108197167852698
"503","CENPB",3,0,3,2,0,0.108037182597743
"504","ZNF426",1,0,1,1,0,0.107703495626858
"505","CTSG",5,3,2,0,1,0.106682779246531
"506","NCDN",1,0,1,1,0,0.106448614339785
"507","STRADB",1,0,1,1,0,0.106397009614373
"508","CSNK2B",53,20,33,0,1,0.106302089504954
"509","RBL1",18,17,1,0,1,0.106039194854544
"510","EAPP",1,0,1,1,0,0.105092528651548
"511","DRD1",1,0,1,2,0,0.104475206606552
"512","PSMC6",4,0,4,2,0,0.104115963238726
"513","SPTAN1",17,5,12,0,1,0.103398589114258
"514","TRAFD1",1,0,1,1,0,0.103354092828935
"515","ZNF775",2,0,2,2,0,0.103227777923362
"516","CDC42EP1",1,0,1,1,0,0.102730027178316
"517","E4F1",1,0,1,1,0,0.102444939597437
"518","VCL",36,18,18,0,1,0.102198170920005
